NMI1,ARI1,FCC1,NMI2,ARI2,FCC2,NMI3,ARI3,FCC3,NMI4,ARI4,FCC4,NMI5,ARI5,FCC5
1.0,1.0,1.0,1.0,1.0,1.0,0.947083705444,0.881242899716,0.987,0.972375901003,0.917754590047,1.0,0.748482354223,0.497575690253,0.6875
1.0,1.0,1.0,1.0,1.0,1.0,0.954065694538,0.901646846621,0.9945,0.973700338708,0.919793042392,0.999,0.736664415587,0.497925649729,0.698
1.0,1.0,1.0,1.0,1.0,1.0,0.960772436209,0.90415995124,0.979,0.975296075447,0.935310964606,0.998,0.656488961052,0.398374650469,0.5375
1.0,1.0,1.0,1.0,1.0,1.0,0.957065491866,0.899777173608,0.998,0.975153705541,0.932374214427,0.9995,0.655189139996,0.376572306206,0.5535
0.991323811873,0.988656178882,0.995,1.0,1.0,1.0,0.95815768698,0.906851962337,0.9745,0.969648763084,0.942724658973,0.9805,0.614860238876,0.318754839764,0.4955
0.991323811873,0.988656178882,0.995,1.0,1.0,1.0,0.963258275519,0.903176623272,1.0,0.979479976828,0.943498091854,0.9995,0.593481961755,0.319648294522,0.497
1.0,1.0,1.0,1.0,1.0,1.0,0.959676560653,0.894414217102,0.99,0.98301337117,0.960084987313,0.9895,0.588530664435,0.292277789821,0.446
0.991323811873,0.988656178882,0.995,1.0,1.0,1.0,0.952822213363,0.890834141245,0.9615,0.97107535649,0.932526004467,0.9855,0.524813500795,0.236473532565,0.4075
0.968472436055,0.956140978242,0.98,0.977090830951,0.967147467505,0.985,0.95339862333,0.920057772033,0.972,0.943403890937,0.878843124418,0.954,0.489644835031,0.220564102474,0.3225
1.0,1.0,1.0,0.991323811873,0.988656178882,0.995,0.956568253916,0.926253979763,0.9595,0.970903206937,0.9358850186,0.9745,0.474254131791,0.195918209143,0.3055
0.927309845287,0.900298110984,0.96,0.94237242573,0.921867040709,0.965,0.878535122337,0.800842034249,0.88,0.910396564273,0.854527467861,0.903,0.450576849208,0.208502209909,0.2995
0.939698307347,0.9230288691,0.965,0.930850675819,0.910829670995,0.96,0.890448902943,0.83327924673,0.881,0.917648068312,0.869967764033,0.926,0.429656795337,0.186076804129,0.2735
0.916394245003,0.888383849421,0.95,0.908273311232,0.879722497175,0.945,0.874850975102,0.813924619762,0.89,0.897268991146,0.846915531938,0.888,0.406564968584,0.171908422231,0.2405
0.916903413538,0.890813789239,0.95,0.919583399328,0.889755835855,0.95,0.864567420357,0.801701804109,0.905,0.891424588792,0.842100171912,0.9085,0.420044572535,0.188162064504,0.238
0.87852959765,0.835331360337,0.93,0.939306098775,0.921014230513,0.965,0.83979638261,0.755576423133,0.8445,0.907833827125,0.864357629647,0.9265,0.321758103891,0.109323222798,0.191
0.800167674665,0.736716934062,0.865,0.922055371949,0.899039554941,0.955,0.743241998976,0.630263072325,0.7915,0.830886923111,0.768203161492,0.887,0.3702806082,0.12044651604,0.216
0.858083980029,0.810551942153,0.91,0.902830254689,0.870514213342,0.94,0.80795299518,0.73316966661,0.866,0.847227384012,0.789647767256,0.891,0.402847539255,0.157558396076,0.2605
0.853356132323,0.810399198038,0.915,0.854859618228,0.799490996899,0.905,0.730628199573,0.604238559635,0.69,0.85040330377,0.781078258888,0.871,0.335698892119,0.0949573706991,0.185
0.839676007559,0.771922130045,0.865,0.925650873196,0.902475168098,0.955,0.798721043672,0.686061909832,0.773,0.886263312762,0.836251143188,0.915,0.302938086897,0.0839273119183,0.158
0.804235271897,0.720749214772,0.825,0.903599799177,0.869174537701,0.94,0.733404381784,0.613306991665,0.7295,0.815769000197,0.735232103002,0.8455,0.291322742804,0.0755451844382,0.13
0.813651529631,0.716904018445,0.84,0.908240498327,0.879686487038,0.945,0.752812675326,0.61614238179,0.708,0.868174283342,0.821586562835,0.912,0.294901746674,0.0778090007765,0.15
0.838561593969,0.787472139673,0.9,0.75164513226,0.635222671513,0.78,0.588218122987,0.391165928581,0.488,0.798436637123,0.71568525157,0.8515,0.269311275467,0.0474553784692,0.1475
0.714868321149,0.621465444623,0.795,0.734168642873,0.593037816178,0.655,0.601339916711,0.406808190274,0.519,0.727529183711,0.631389724438,0.7605,0.262180840723,0.0520114248017,0.137
0.792434175056,0.701926645294,0.875,0.625053964569,0.491956664909,0.695,0.597631376522,0.411144872167,0.583,0.67795596055,0.557737933161,0.725,0.28916358883,0.0737660213911,0.138
0.746279719328,0.626189325289,0.845,0.704324139489,0.570499516781,0.645,0.597775345764,0.394531861974,0.539,0.736934275006,0.640320462369,0.8195,0.27138273708,0.0542285106426,0.1485
0.611732614084,0.463854673958,0.74,0.78207983812,0.703537560496,0.82,0.46568260038,0.222722778276,0.3345,0.657663662027,0.530753775652,0.7085,0.29417384176,0.0755318744194,0.147
0.686004365717,0.552440519127,0.78,0.641468423811,0.490103852424,0.52,0.470181562024,0.240636234792,0.2765,0.565615496018,0.400985911548,0.5475,0.279040142321,0.05354026034,0.1375
0.498847048766,0.324390120595,0.475,0.499253118776,0.349259159249,0.435,0.403446043115,0.204302109891,0.231,0.531854434388,0.381732881711,0.543,0.251800603496,0.0563207873097,0.108
0.554920212547,0.278026183132,0.705,0.4637854224,0.320238882878,0.39,0.355639082991,0.12970312665,0.204,0.431042151429,0.246170599891,0.295,0.23860865631,0.0461221052992,0.097
0.474776448729,0.201217864078,0.455,0.412110767804,0.26626870273,0.23,0.310745292684,0.115382220244,0.1405,0.374410346395,0.201450053929,0.2175,0.246552118649,0.0438986069207,0.096
